file_name,accession,name,full_header
PQ675796.fasta,PQ675796.1,"Aconogonon microcarpum chloroplast, complete genome","PQ675796.1 [Aconogonon] microcarpum chloroplast, complete genome"
PX795008.fasta,PX795008.1,"Elymus breviaristatus isolate P20 chloroplast, complete genome","PX795008.1 [Elymus] breviaristatus isolate P20 chloroplast, complete genome"
MH706712.1.fasta,MH706712.1,"Abies recurvata isolate K217 chloroplast, complete genome","MH706712.1 Abies recurvata isolate K217 chloroplast, complete genome"
PQ997912.fasta,PQ997912.1,"Abroma augustum chloroplast, complete genome","PQ997912.1 Abroma augustum chloroplast, complete genome"
PV582056.fasta,PV582056.1,"Abrus bottae voucher UQU_GT2026 chloroplast, complete genome","PV582056.1 Abrus bottae voucher UQU_GT2026 chloroplast, complete genome"
PX334442.fasta,PX334442.1,"Abutilon abutiloides chloroplast, complete genome","PX334442.1 Abutilon abutiloides chloroplast, complete genome"
PX334443.fasta,PX334443.1,"Abutilon angulatum chloroplast, complete genome","PX334443.1 Abutilon angulatum chloroplast, complete genome"
PX334445.fasta,PX334445.1,"Abutilon geranioides chloroplast, complete genome","PX334445.1 Abutilon geranioides chloroplast, complete genome"
PX334446.fasta,PX334446.1,"Abutilon grandifolium chloroplast, complete genome","PX334446.1 Abutilon grandifolium chloroplast, complete genome"
PX334447.fasta,PX334447.1,"Abutilon hirtum chloroplast, complete genome","PX334447.1 Abutilon hirtum chloroplast, complete genome"
PP897811.fasta,PP897811.1,"Abutilon indicum chloroplast, complete genome","PP897811.1 Abutilon indicum chloroplast, complete genome"
PX334444.fasta,PX334444.1,"Abutilon longicuspe chloroplast, complete genome","PX334444.1 Abutilon longicuspe chloroplast, complete genome"
OR162026.fasta,OR162026.1,"Abutilon theophrasti chloroplast, complete genome","OR162026.1 Abutilon theophrasti chloroplast, complete genome"
PV870721.fasta,PV870721.1,"Acaciella angustissima voucher 27548-MO chloroplast, complete genome","PV870721.1 Acaciella angustissima voucher 27548-MO chloroplast, complete genome"
PZ094841.fasta,PZ094841.1,"Acanthophyllum aculeatum chloroplast, complete genome","PZ094841.1 Acanthophyllum aculeatum chloroplast, complete genome"
PV995244.fasta,PV995244.1,"Acanthophyllum coloratum var. eglandulosum voucher YZP001504 chloroplast, complete genome","PV995244.1 Acanthophyllum coloratum var. eglandulosum voucher YZP001504 chloroplast, complete genome"
PX309500.fasta,PX309500.1,"Acer palmatum chloroplast, complete genome","PX309500.1 Acer palmatum chloroplast, complete genome"
PQ380007.fasta,PQ380007.1,"Acer pictum subsp. okamotoanum chloroplast, complete genome","PQ380007.1 Acer pictum subsp. okamotoanum chloroplast, complete genome"
PP328799.fasta,PP328799.1,"Acer pseudoplatanus chloroplast, complete genome","PP328799.1 Acer pseudoplatanus chloroplast, complete genome"
PP078684.fasta,PP078684.1,"Acer sinopurpurascens isolate ZXX21389 chloroplast, complete genome","PP078684.1 Acer sinopurpurascens isolate ZXX21389 chloroplast, complete genome"
PQ412534.fasta,PQ412534.1,"Achillea ptarmica cultivar YAF01 chloroplast, complete genome","PQ412534.1 Achillea ptarmica cultivar YAF01 chloroplast, complete genome"
PP316502.fasta,PP316502.1,"Achnatherum calamagrostis chloroplast, complete genome","PP316502.1 Achnatherum calamagrostis chloroplast, complete genome"
OR738466.fasta,OR738466.1,"Achyrocline hyperchlora chloroplast, complete genome","OR738466.1 Achyrocline hyperchlora chloroplast, complete genome"
PQ576951.fasta,PQ576951.1,"Acidosasa glauca voucher NZY152 chloroplast, complete genome","PQ576951.1 Acidosasa glauca voucher NZY152 chloroplast, complete genome"
PQ576950.fasta,PQ576950.1,"Acidosasa purpurea voucher NZY041 chloroplast, complete genome","PQ576950.1 Acidosasa purpurea voucher NZY041 chloroplast, complete genome"
PP681647.fasta,PP681647.1,"Acidosasa venusta voucher XNH12 chloroplast, complete genome","PP681647.1 Acidosasa venusta voucher XNH12 chloroplast, complete genome"
PV409667.fasta,PV409667.1,"Acis autumnalis chloroplast, complete genome","PV409667.1 Acis autumnalis chloroplast, complete genome"
PQ539379.fasta,PQ539379.1,"Acmispon americanus chloroplast, complete genome","PQ539379.1 Acmispon americanus chloroplast, complete genome"
PQ539367.fasta,PQ539367.1,"Acmispon glaber chloroplast, complete genome","PQ539367.1 Acmispon glaber chloroplast, complete genome"
PQ539368.fasta,PQ539368.1,"Acmispon parviflorus chloroplast, complete genome","PQ539368.1 Acmispon parviflorus chloroplast, complete genome"
PX380619.fasta,PX380619.1,"Aconitum alboviolaceum isolate XL01 chloroplast, complete genome","PX380619.1 Aconitum alboviolaceum isolate XL01 chloroplast, complete genome"
PX380620.fasta,PX380620.1,"Aconitum anthoroideum isolate 20240716001 chloroplast, complete genome","PX380620.1 Aconitum anthoroideum isolate 20240716001 chloroplast, complete genome"
PX686330.fasta,PX686330.1,"Aconitum brunneum chloroplast, complete genome","PX686330.1 Aconitum brunneum chloroplast, complete genome"
PX380622.fasta,PX380622.1,"Aconitum chrysotrichum isolate 20200806001 chloroplast, complete genome","PX380622.1 Aconitum chrysotrichum isolate 20200806001 chloroplast, complete genome"
PX380623.fasta,PX380623.1,"Aconitum coreanum isolate 2024092307 chloroplast, complete genome","PX380623.1 Aconitum coreanum isolate 2024092307 chloroplast, complete genome"
PX380624.fasta,PX380624.1,"Aconitum fischeri var. arcuatum isolate 2024092305 chloroplast, complete genome","PX380624.1 Aconitum fischeri var. arcuatum isolate 2024092305 chloroplast, complete genome"
PX380625.fasta,PX380625.1,"Aconitum flavum isolate WH061 chloroplast, complete genome","PX380625.1 Aconitum flavum isolate WH061 chloroplast, complete genome"
PX380626.fasta,PX380626.1,"Aconitum glandulosum isolate 20240803009 chloroplast, complete genome","PX380626.1 Aconitum glandulosum isolate 20240803009 chloroplast, complete genome"
PX380627.fasta,PX380627.1,"Aconitum hemsleyanum isolate 20200804017 chloroplast, complete genome","PX380627.1 Aconitum hemsleyanum isolate 20200804017 chloroplast, complete genome"
PX781441.fasta,PX781441.1,"Aconitum heterophyllum voucher 8658KASH chloroplast, complete genome","PX781441.1 Aconitum heterophyllum voucher 8658KASH chloroplast, complete genome"
PX686329.fasta,PX686329.1,"Aconitum karakolicum chloroplast, complete genome","PX686329.1 Aconitum karakolicum chloroplast, complete genome"
PX380629.fasta,PX380629.1,"Aconitum kirinense isolate 2024092302 chloroplast, complete genome","PX380629.1 Aconitum kirinense isolate 2024092302 chloroplast, complete genome"
PX380630.fasta,PX380630.1,"Aconitum kongboense isolate WH011 chloroplast, complete genome","PX380630.1 Aconitum kongboense isolate WH011 chloroplast, complete genome"
PX380631.fasta,PX380631.1,"Aconitum kusnezoffii isolate 2024092309 chloroplast, complete genome","PX380631.1 Aconitum kusnezoffii isolate 2024092309 chloroplast, complete genome"
PX380632.fasta,PX380632.1,"Aconitum lethale isolate WH021 chloroplast, complete genome","PX380632.1 Aconitum lethale isolate WH021 chloroplast, complete genome"
PX380633.fasta,PX380633.1,"Aconitum leucostomum isolate 20240710004 chloroplast, complete genome","PX380633.1 Aconitum leucostomum isolate 20240710004 chloroplast, complete genome"
PX380635.fasta,PX380635.1,"Aconitum leucostomum var. hopeiense isolate 2022082401 chloroplast, complete genome","PX380635.1 Aconitum leucostomum var. hopeiense isolate 2022082401 chloroplast, complete genome"
PX380636.fasta,PX380636.1,"Aconitum ludlowii isolate YD007 chloroplast, complete genome","PX380636.1 Aconitum ludlowii isolate YD007 chloroplast, complete genome"
PX380637.fasta,PX380637.1,"Aconitum macrorhynchum isolate 2024092303 chloroplast, complete genome","PX380637.1 Aconitum macrorhynchum isolate 2024092303 chloroplast, complete genome"
PP316503.fasta,PP316503.1,"Aconitum napellus chloroplast, complete genome","PP316503.1 Aconitum napellus chloroplast, complete genome"
PX380639.fasta,PX380639.1,"Aconitum naviculare isolate WH030 chloroplast, complete genome","PX380639.1 Aconitum naviculare isolate WH030 chloroplast, complete genome"
PX380640.fasta,PX380640.1,"Aconitum pendulum isolate 2023080806 chloroplast, complete genome","PX380640.1 Aconitum pendulum isolate 2023080806 chloroplast, complete genome"
PX380641.fasta,PX380641.1,"Aconitum pulchellum isolate 2022080905 chloroplast, complete genome","PX380641.1 Aconitum pulchellum isolate 2022080905 chloroplast, complete genome"
PX686331.fasta,PX686331.1,"Aconitum refractum chloroplast, complete genome","PX686331.1 Aconitum refractum chloroplast, complete genome"
PX380643.fasta,PX380643.1,"Aconitum rotundifolium isolate 20240809004 chloroplast, complete genome","PX380643.1 Aconitum rotundifolium isolate 20240809004 chloroplast, complete genome"
PX380644.fasta,PX380644.1,"Aconitum scaposum isolate 2023041402 chloroplast, complete genome","PX380644.1 Aconitum scaposum isolate 2023041402 chloroplast, complete genome"
PX380645.fasta,PX380645.1,"Aconitum sinomontanum isolate 2022062401 chloroplast, complete genome","PX380645.1 Aconitum sinomontanum isolate 2022062401 chloroplast, complete genome"
PX380646.fasta,PX380646.1,"Aconitum soongaricum isolate 20240802010 chloroplast, complete genome","PX380646.1 Aconitum soongaricum isolate 20240802010 chloroplast, complete genome"
PX380647.fasta,PX380647.1,"Aconitum spiripetalum isolate WH063 chloroplast, complete genome","PX380647.1 Aconitum spiripetalum isolate WH063 chloroplast, complete genome"
PX380648.fasta,PX380648.1,"Aconitum tanguticum isolate 20200805003 chloroplast, complete genome","PX380648.1 Aconitum tanguticum isolate 20200805003 chloroplast, complete genome"
PX380649.fasta,PX380649.1,"Aconitum tatsienense isolate 20200804019 chloroplast, complete genome","PX380649.1 Aconitum tatsienense isolate 20200804019 chloroplast, complete genome"
PP316504.fasta,PP316504.1,"Aconitum tauricum chloroplast, complete genome","PP316504.1 Aconitum tauricum chloroplast, complete genome"
PX380650.fasta,PX380650.1,"Aconitum vilmorinianum isolate 2022080310 chloroplast, complete genome","PX380650.1 Aconitum vilmorinianum isolate 2022080310 chloroplast, complete genome"
PV364611.fasta,PV364611.1,"Aconitum violaceum chloroplast, complete genome","PV364611.1 Aconitum violaceum chloroplast, complete genome"
OR855733.fasta,OR855733.1,"Acorus gramineus voucher DBS01265 chloroplast, complete genome","OR855733.1 Acorus gramineus voucher DBS01265 chloroplast, complete genome"
PQ456445.fasta,PQ456445.1,"Acorus shannai isolate 2 chloroplast, complete genome","PQ456445.1 Acorus shannai isolate 2 chloroplast, complete genome"
PV870684.fasta,PV870684.1,"Acosmium lentiscifolium voucher Cardoso 2216-HUEFS chloroplast, complete genome","PV870684.1 Acosmium lentiscifolium voucher Cardoso 2216-HUEFS chloroplast, complete genome"
PX652373.fasta,PX652373.1,"Acrisione denticulata voucher L chloroplast, complete genome","PX652373.1 Acrisione denticulata voucher L chloroplast, complete genome"
PP531564.fasta,PP531564.1,"Acronema astrantiifolium chloroplast, complete genome","PP531564.1 Acronema astrantiifolium chloroplast, complete genome"
PP531566.fasta,PP531566.1,"Acronema chienii chloroplast, complete genome","PP531566.1 Acronema chienii chloroplast, complete genome"
PP531559.fasta,PP531559.1,"Acronema chinense chloroplast, complete genome","PP531559.1 Acronema chinense chloroplast, complete genome"
PP531560.fasta,PP531560.1,"Acronema chinense var. humile chloroplast, complete genome","PP531560.1 Acronema chinense var. humile chloroplast, complete genome"
PP531557.fasta,PP531557.1,"Acronema commutatum chloroplast, complete genome","PP531557.1 Acronema commutatum chloroplast, complete genome"
PP531565.fasta,PP531565.1,"Acronema crassifolium chloroplast, complete genome","PP531565.1 Acronema crassifolium chloroplast, complete genome"
PP531563.fasta,PP531563.1,"Acronema forrestii chloroplast, complete genome","PP531563.1 Acronema forrestii chloroplast, complete genome"
PP531556.fasta,PP531556.1,"Acronema gracile chloroplast, complete genome","PP531556.1 Acronema gracile chloroplast, complete genome"
PP531555.fasta,PP531555.1,"Acronema graminifolium chloroplast, complete genome","PP531555.1 Acronema graminifolium chloroplast, complete genome"
PP531554.fasta,PP531554.1,"Acronema handelii chloroplast, complete genome","PP531554.1 Acronema handelii chloroplast, complete genome"
PP531553.fasta,PP531553.1,"Acronema hookeri chloroplast, complete genome","PP531553.1 Acronema hookeri chloroplast, complete genome"
PP531558.fasta,PP531558.1,"Acronema minus chloroplast, complete genome","PP531558.1 Acronema minus chloroplast, complete genome"
PP531561.fasta,PP531561.1,"Acronema muscicola chloroplast, complete genome","PP531561.1 Acronema muscicola chloroplast, complete genome"
PX091988.fasta,PX091988.1,"Acronema nervosum chloroplast, complete genome","PX091988.1 Acronema nervosum chloroplast, complete genome"
PP531552.fasta,PP531552.1,"Acronema paniculatum chloroplast, complete genome","PP531552.1 Acronema paniculatum chloroplast, complete genome"
PP531562.fasta,PP531562.1,"Acronema schneideri chloroplast, complete genome","PP531562.1 Acronema schneideri chloroplast, complete genome"
PP531545.fasta,PP531545.1,"Acronema tenerum chloroplast, complete genome","PP531545.1 Acronema tenerum chloroplast, complete genome"
PQ675797.fasta,PQ675797.1,"Actaea dahurica chloroplast, complete genome","PQ675797.1 Actaea dahurica chloroplast, complete genome"
PQ675798.fasta,PQ675798.1,"Actaea heracleifolia chloroplast, complete genome","PQ675798.1 Actaea heracleifolia chloroplast, complete genome"
PQ675799.fasta,PQ675799.1,"Actaea simplex chloroplast, complete genome","PQ675799.1 Actaea simplex chloroplast, complete genome"
PP316505.fasta,PP316505.1,"Actaea spicata chloroplast, complete genome","PP316505.1 Actaea spicata chloroplast, complete genome"
PZ096696.fasta,PZ096696.1,"Actaea vaginata chloroplast, complete genome","PZ096696.1 Actaea vaginata chloroplast, complete genome"
PP979515.1.fasta,PP979515.1,"Actinastrum hantzschii strain FACHB-3702 chloroplast, complete genome","PP979515.1 Actinastrum hantzschii strain FACHB-3702 chloroplast, complete genome"
PP979529.1.fasta,PP979529.1,"Actinastrum hantzschii strain FACHB-3717 chloroplast, complete genome","PP979529.1 Actinastrum hantzschii strain FACHB-3717 chloroplast, complete genome"
OM949906.fasta,OM949906.1,"Actinidia arguta var. hypoleuca voucher Lixw2019-85 chloroplast, complete genome","OM949906.1 Actinidia arguta var. hypoleuca voucher Lixw2019-85 chloroplast, complete genome"
OM949898.fasta,OM949898.1,"Actinidia arguta voucher Lixw2893 chloroplast, complete genome","OM949898.1 Actinidia arguta voucher Lixw2893 chloroplast, complete genome"
OM949888.fasta,OM949888.1,"Actinidia callosa var. discolor voucher Lixw2795 chloroplast, complete genome","OM949888.1 Actinidia callosa var. discolor voucher Lixw2795 chloroplast, complete genome"
OM949886.fasta,OM949886.1,"Actinidia callosa var. henryi voucher Lixw2772 chloroplast, complete genome","OM949886.1 Actinidia callosa var. henryi voucher Lixw2772 chloroplast, complete genome"
OM949882.fasta,OM949882.1,"Actinidia callosa voucher Lixw20203230 chloroplast, complete genome","OM949882.1 Actinidia callosa voucher Lixw20203230 chloroplast, complete genome"
OM949912.fasta,OM949912.1,"Actinidia chengkouensis voucher Lixw2725 chloroplast, complete genome","OM949912.1 Actinidia chengkouensis voucher Lixw2725 chloroplast, complete genome"
ON880467.fasta,ON880467.1,"Actinidia chinensis voucher Lixw2016-136 chloroplast, complete genome","ON880467.1 Actinidia chinensis voucher Lixw2016-136 chloroplast, complete genome"
OM949890.fasta,OM949890.1,"Actinidia chrysantha voucher Lixw2844 chloroplast, complete genome","OM949890.1 Actinidia chrysantha voucher Lixw2844 chloroplast, complete genome"
OM949905.fasta,OM949905.1,"Actinidia cylindrica voucher Lixw2010-34 chloroplast, complete genome","OM949905.1 Actinidia cylindrica voucher Lixw2010-34 chloroplast, complete genome"
ON880466.fasta,ON880466.1,"Actinidia deliciosa voucher Lixw2017-1719 chloroplast, complete genome","ON880466.1 Actinidia deliciosa voucher Lixw2017-1719 chloroplast, complete genome"
OM949893.fasta,OM949893.1,"Actinidia eriantha voucher Lixw2870 chloroplast, complete genome","OM949893.1 Actinidia eriantha voucher Lixw2870 chloroplast, complete genome"
OM949917.fasta,OM949917.1,"Actinidia farinosa voucher Lixw2760 chloroplast, complete genome","OM949917.1 Actinidia farinosa voucher Lixw2760 chloroplast, complete genome"
OM949913.fasta,OM949913.1,"Actinidia fasciculoides voucher Lixw2740 chloroplast, complete genome","OM949913.1 Actinidia fasciculoides voucher Lixw2740 chloroplast, complete genome"
OM949932.fasta,OM949932.1,"Actinidia fortunatii voucher Lixw2742 chloroplast, complete genome","OM949932.1 Actinidia fortunatii voucher Lixw2742 chloroplast, complete genome"
OM949920.fasta,OM949920.1,"Actinidia fulvicoma voucher Lixw2755 chloroplast, complete genome","OM949920.1 Actinidia fulvicoma voucher Lixw2755 chloroplast, complete genome"
OM949892.fasta,OM949892.1,"Actinidia glaucocallosa voucher Lixw2858 chloroplast, complete genome","OM949892.1 Actinidia glaucocallosa voucher Lixw2858 chloroplast, complete genome"
OM949889.fasta,OM949889.1,"Actinidia glaucophylla voucher Lixw2843 chloroplast, complete genome","OM949889.1 Actinidia glaucophylla voucher Lixw2843 chloroplast, complete genome"
OM949914.fasta,OM949914.1,"Actinidia grandiflora voucher Lixw2727 chloroplast, complete genome","OM949914.1 Actinidia grandiflora voucher Lixw2727 chloroplast, complete genome"
OM949894.fasta,OM949894.1,"Actinidia hemsleyana voucher Lixw2871 chloroplast, complete genome","OM949894.1 Actinidia hemsleyana voucher Lixw2871 chloroplast, complete genome"
OM949904.fasta,OM949904.1,"Actinidia henryi voucher Lixw2759 chloroplast, complete genome","OM949904.1 Actinidia henryi voucher Lixw2759 chloroplast, complete genome"
OM949927.fasta,OM949927.1,"Actinidia holotricha voucher Lixw2729 chloroplast, complete genome","OM949927.1 Actinidia holotricha voucher Lixw2729 chloroplast, complete genome"
OM949937.fasta,OM949937.1,"Actinidia hubeiensis isolate SRR3723870 chloroplast, complete genome","OM949937.1 Actinidia hubeiensis isolate SRR3723870 chloroplast, complete genome"
OM949936.fasta,OM949936.1,"Actinidia indochinensis voucher Lixw2754 chloroplast, complete genome","OM949936.1 Actinidia indochinensis voucher Lixw2754 chloroplast, complete genome"
OM949897.fasta,OM949897.1,"Actinidia kolomikta voucher Lixw2892 chloroplast, complete genome","OM949897.1 Actinidia kolomikta voucher Lixw2892 chloroplast, complete genome"
OM949921.fasta,OM949921.1,"Actinidia laevissima voucher Lixw2010-100 chloroplast, complete genome","OM949921.1 Actinidia laevissima voucher Lixw2010-100 chloroplast, complete genome"
OM949902.fasta,OM949902.1,"Actinidia lanceolata voucher Lixw3013 chloroplast, complete genome","OM949902.1 Actinidia lanceolata voucher Lixw3013 chloroplast, complete genome"
OM949887.fasta,OM949887.1,"Actinidia latifolia voucher Lixw2774 chloroplast, complete genome","OM949887.1 Actinidia latifolia voucher Lixw2774 chloroplast, complete genome"
OM949922.fasta,OM949922.1,"Actinidia liangguangensis voucher Lixw2755_1 chloroplast, complete genome","OM949922.1 Actinidia liangguangensis voucher Lixw2755_1 chloroplast, complete genome"
OM949923.fasta,OM949923.1,"Actinidia lijiangensis voucher Lixw2018-73 chloroplast, complete genome","OM949923.1 Actinidia lijiangensis voucher Lixw2018-73 chloroplast, complete genome"
OM949924.fasta,OM949924.1,"Actinidia linguiensis voucher Lixw2020-8752 chloroplast, complete genome","OM949924.1 Actinidia linguiensis voucher Lixw2020-8752 chloroplast, complete genome"
OM949907.fasta,OM949907.1,"Actinidia longicarpa voucher Lixw2019-84 chloroplast, complete genome","OM949907.1 Actinidia longicarpa voucher Lixw2019-84 chloroplast, complete genome"
OM949891.fasta,OM949891.1,"Actinidia macrosperma voucher Lixw2854 chloroplast, complete genome","OM949891.1 Actinidia macrosperma voucher Lixw2854 chloroplast, complete genome"
OM949901.fasta,OM949901.1,"Actinidia melanandra voucher Lixw2996 chloroplast, complete genome","OM949901.1 Actinidia melanandra voucher Lixw2996 chloroplast, complete genome"
OM949926.fasta,OM949926.1,"Actinidia melliana voucher Lixw2755_2 chloroplast, complete genome","OM949926.1 Actinidia melliana voucher Lixw2755_2 chloroplast, complete genome"
OM949915.fasta,OM949915.1,"Actinidia obovata voucher Lixw2745 chloroplast, complete genome","OM949915.1 Actinidia obovata voucher Lixw2745 chloroplast, complete genome"
OM949931.fasta,OM949931.1,"Actinidia persicina voucher Lixw2019-82 chloroplast, complete genome","OM949931.1 Actinidia persicina voucher Lixw2019-82 chloroplast, complete genome"
OM949918.fasta,OM949918.1,"Actinidia pilosula voucher Lixw2749 chloroplast, complete genome","OM949918.1 Actinidia pilosula voucher Lixw2749 chloroplast, complete genome"
OM949899.fasta,OM949899.1,"Actinidia polygama voucher Lixw2894 chloroplast, complete genome","OM949899.1 Actinidia polygama voucher Lixw2894 chloroplast, complete genome"
OM949928.fasta,OM949928.1,"Actinidia rongshuiensis voucher Lixw2019-81 chloroplast, complete genome","OM949928.1 Actinidia rongshuiensis voucher Lixw2019-81 chloroplast, complete genome"
OM949903.fasta,OM949903.1,"Actinidia rubricaulis var. coriacea voucher Lixw3015 chloroplast, complete genome","OM949903.1 Actinidia rubricaulis var. coriacea voucher Lixw3015 chloroplast, complete genome"
OM949934.fasta,OM949934.1,"Actinidia rubus voucher Lixw2732 chloroplast, complete genome","OM949934.1 Actinidia rubus voucher Lixw2732 chloroplast, complete genome"
OM949911.fasta,OM949911.1,"Actinidia rudis voucher Lixw2753 chloroplast, complete genome","OM949911.1 Actinidia rudis voucher Lixw2753 chloroplast, complete genome"
OM949930.fasta,OM949930.1,"Actinidia rufa voucher Lixw2018-70 chloroplast, complete genome","OM949930.1 Actinidia rufa voucher Lixw2018-70 chloroplast, complete genome"
OM949919.fasta,OM949919.1,"Actinidia rufotricha voucher Lixw2750 chloroplast, complete genome","OM949919.1 Actinidia rufotricha voucher Lixw2750 chloroplast, complete genome"
OM949895.fasta,OM949895.1,"Actinidia sabiifolia voucher Lixw2877 chloroplast, complete genome","OM949895.1 Actinidia sabiifolia voucher Lixw2877 chloroplast, complete genome"
OM949885.fasta,OM949885.1,"Actinidia sorbifolia voucher Lixw2741 chloroplast, complete genome","OM949885.1 Actinidia sorbifolia voucher Lixw2741 chloroplast, complete genome"
OM949908.fasta,OM949908.1,"Actinidia styracifolia voucher Lixw2018-78 chloroplast, complete genome","OM949908.1 Actinidia styracifolia voucher Lixw2018-78 chloroplast, complete genome"
OM949909.fasta,OM949909.1,"Actinidia suberifolia voucher Lixw2010-233 chloroplast, complete genome","OM949909.1 Actinidia suberifolia voucher Lixw2010-233 chloroplast, complete genome"
OM949910.fasta,OM949910.1,"Actinidia tetramera voucher Lixw2761 chloroplast, complete genome","OM949910.1 Actinidia tetramera voucher Lixw2761 chloroplast, complete genome"
PX754132.fasta,PX754132.1,"Actinidia trichogyna chloroplast, complete genome","PX754132.1 Actinidia trichogyna chloroplast, complete genome"
OM949929.fasta,OM949929.1,"Actinidia umbelloides voucher Lixw2736 chloroplast, complete genome","OM949929.1 Actinidia umbelloides voucher Lixw2736 chloroplast, complete genome"
OM949896.fasta,OM949896.1,"Actinidia valvata voucher Lixw2883 chloroplast, complete genome","OM949896.1 Actinidia valvata voucher Lixw2883 chloroplast, complete genome"
OM949933.fasta,OM949933.1,"Actinidia venosa voucher Lixw2730 chloroplast, complete genome","OM949933.1 Actinidia venosa voucher Lixw2730 chloroplast, complete genome"
OM949884.fasta,OM949884.1,"Actinidia vitifolia voucher Lixw2018-57 chloroplast, complete genome","OM949884.1 Actinidia vitifolia voucher Lixw2018-57 chloroplast, complete genome"
OM949935.fasta,OM949935.1,"Actinidia zhejiangensis voucher Lixw2018-75 chloroplast, complete genome","OM949935.1 Actinidia zhejiangensis voucher Lixw2018-75 chloroplast, complete genome"
PZ247708.fasta,PZ247708.1,"Actinodaphne sp. HW-2026 chloroplast, complete genome","PZ247708.1 Actinodaphne sp. HW-2026 chloroplast, complete genome"
PV938953.fasta,PV938953.1,"Actinostemma tenerum chloroplast, complete genome","PV938953.1 Actinostemma tenerum chloroplast, complete genome"
MT052998.fasta,MT052998.1,"Adansonia digitata voucher PDBK2014-1798 chloroplast, complete genome","MT052998.1 Adansonia digitata voucher PDBK2014-1798 chloroplast, complete genome"
MT052999.fasta,MT052999.1,"Adansonia grandidieri voucher PDBK2014-1838 chloroplast, complete genome","MT052999.1 Adansonia grandidieri voucher PDBK2014-1838 chloroplast, complete genome"
MT053000.fasta,MT053000.1,"Adansonia gregorii voucher PDBK2015-0004 chloroplast, complete genome","MT053000.1 Adansonia gregorii voucher PDBK2015-0004 chloroplast, complete genome"
MT053001.fasta,MT053001.1,"Adansonia kilima voucher PDBK2014-1843 chloroplast, complete genome","MT053001.1 Adansonia kilima voucher PDBK2014-1843 chloroplast, complete genome"
MT053002.fasta,MT053002.1,"Adansonia madagascariensis voucher PDBK2014-1842 chloroplast, complete genome","MT053002.1 Adansonia madagascariensis voucher PDBK2014-1842 chloroplast, complete genome"
MT053003.fasta,MT053003.1,"Adansonia perrieri voucher PDBK2014-1808 chloroplast, complete genome","MT053003.1 Adansonia perrieri voucher PDBK2014-1808 chloroplast, complete genome"
MT053004.fasta,MT053004.1,"Adansonia rubrostipa voucher PDBK2014-1811 chloroplast, complete genome","MT053004.1 Adansonia rubrostipa voucher PDBK2014-1811 chloroplast, complete genome"
MT053005.fasta,MT053005.1,"Adansonia suarezensis voucher PDBK2017-1261 chloroplast, complete genome","MT053005.1 Adansonia suarezensis voucher PDBK2017-1261 chloroplast, complete genome"
MT053006.fasta,MT053006.1,"Adansonia za voucher PDBK2017-0809 chloroplast, complete genome","MT053006.1 Adansonia za voucher PDBK2017-0809 chloroplast, complete genome"
PV870845.fasta,PV870845.1,"Adenocarpus decorticans voucher Yi15478-Kew chloroplast, complete genome","PV870845.1 Adenocarpus decorticans voucher Yi15478-Kew chloroplast, complete genome"
PV870825.fasta,PV870825.1,"Adenolobus garipensis voucher Yi15118-Yi Lab chloroplast, complete genome","PV870825.1 Adenolobus garipensis voucher Yi15118-Yi Lab chloroplast, complete genome"
PV364363.fasta,PV364363.1,"Adenophora himalayana chloroplast, complete genome","PV364363.1 Adenophora himalayana chloroplast, complete genome"
PV339537.fasta,PV339537.1,"Adenophora koreana voucher SJUH001459 chloroplast, complete genome","PV339537.1 Adenophora koreana voucher SJUH001459 chloroplast, complete genome"
PZ309718.fasta,PZ309718.1,"Adenophora lamarckii chloroplast, complete genome","PZ309718.1 Adenophora lamarckii chloroplast, complete genome"
PZ309721.fasta,PZ309721.1,"Adenophora palustris chloroplast, complete genome","PZ309721.1 Adenophora palustris chloroplast, complete genome"
PV944217.fasta,PV944217.1,"Adenophora pinifolia chloroplast, complete genome","PV944217.1 Adenophora pinifolia chloroplast, complete genome"
PZ309722.fasta,PZ309722.1,"Adenophora polyantha chloroplast, complete genome","PZ309722.1 Adenophora polyantha chloroplast, complete genome"
PZ309724.fasta,PZ309724.1,"Adenophora sp. B7761-1 chloroplast, complete genome","PZ309724.1 Adenophora sp. B7761-1 chloroplast, complete genome"
PZ309726.fasta,PZ309726.1,"Adenophora tashiroi chloroplast, complete genome","PZ309726.1 Adenophora tashiroi chloroplast, complete genome"
PZ309723.fasta,PZ309723.1,"Adenophora triphylla chloroplast, complete genome","PZ309723.1 Adenophora triphylla chloroplast, complete genome"
PZ309725.fasta,PZ309725.1,"Adenophora triphylla var. japonica chloroplast, complete genome","PZ309725.1 Adenophora triphylla var. japonica chloroplast, complete genome"
PV870719.fasta,PV870719.1,"Adenopodia patens voucher 29440-MO chloroplast, complete genome","PV870719.1 Adenopodia patens voucher 29440-MO chloroplast, complete genome"
OR896870.fasta,OR896870.1,"Adenostyles alliariae chloroplast, complete genome","OR896870.1 Adenostyles alliariae chloroplast, complete genome"
OR896871.fasta,OR896871.1,"Adenostyles glabra chloroplast, complete genome","OR896871.1 Adenostyles glabra chloroplast, complete genome"
PV870722.fasta,PV870722.1,"Adesmia emarginata voucher 34138-MO chloroplast, complete genome","PV870722.1 Adesmia emarginata voucher 34138-MO chloroplast, complete genome"
