A._sp._XH2	A._sp._XH2	0.0	0.0	1000/1000
A._thermoaerophilus_strain_AFn2	A._sp._XH2	0.0024636	0.0	904/1000
A._thermoaerophilus_strain_CCM_8960	A._sp._XH2	0.0024636	0.0	904/1000
B._altitudinis_strain_Ba1449	A._sp._XH2	1.0	1.0	0/1000
B._atrophaeus_strain_globigii	A._sp._XH2	1.0	1.0	0/1000
B._borstelensis_strain_SLAM-AEPS2	A._sp._XH2	0.295981	0.00050234	1/1000
B._brevis_strain_DZQ7	A._sp._XH2	1.0	1.0	0/1000
B._cereus_strain_2-6A	A._sp._XH2	1.0	1.0	0/1000
B._laterosporus_strain_Bl-zj	A._sp._XH2	0.295981	0.000488775	1/1000
B._licheniformis_strain_FUA2151	A._sp._XH2	1.0	1.0	0/1000
B._ovatus_strain_BFG-261	A._sp._XH2	1.0	1.0	0/1000
B._paralicheniformis_strain_285-3	A._sp._XH2	1.0	1.0	0/1000
B._paranthracis_strain_PR1	A._sp._XH2	1.0	1.0	0/1000
B._sp._41-22	A._sp._XH2	1.0	1.0	0/1000
B._sp._HF-162	A._sp._XH2	1.0	1.0	0/1000
B._subtilis_strain_75	A._sp._XH2	1.0	1.0	0/1000
B._subtilis_strain_B171	A._sp._XH2	1.0	1.0	0/1000
B._subtilis_strain_JNF2	A._sp._XH2	1.0	1.0	0/1000
B._subtilis_strain_SRCM104011	A._sp._XH2	1.0	1.0	0/1000
B._subtilis_subsp._subtilis_isolate_FELIX_MS9	A._sp._XH2	1.0	1.0	0/1000
B._velezensis_strain_CN026	A._sp._XH2	1.0	1.0	0/1000
B._velezensis_strain_PTA-127065	A._sp._XH2	1.0	1.0	0/1000
B._velezensis_strain_Soil-4-2	A._sp._XH2	1.0	1.0	0/1000
B._velezensis_strain_UA0276	A._sp._XH2	1.0	1.0	0/1000
B._velezensis_strain_W1	A._sp._XH2	1.0	1.0	0/1000
E._coli_strain_2015C-3163	A._sp._XH2	1.0	1.0	0/1000
E._coli_strain_CUVET20-1573	A._sp._XH2	1.0	1.0	0/1000
FO-S2_contigs	A._sp._XH2	1.0	1.0	0/1000
L._capsici_strain_InaCC_B347	A._sp._XH2	1.0	1.0	0/1000
L._fusiformis_strain_MGMM7	A._sp._XH2	1.0	1.0	0/1000
L._sp._FSL_W7-1291	A._sp._XH2	1.0	1.0	0/1000
M._shinjukuense_strain_MSJ-20	A._sp._XH2	1.0	1.0	0/1000
M._tuberculosis_strain_Beijing-like_36918	A._sp._XH2	1.0	1.0	0/1000
P._aeruginosa_strain_SHPHC59	A._sp._XH2	1.0	1.0	0/1000
P._hexagrammi_strain_YPD9-1	A._sp._XH2	0.295981	0.000536781	1/1000
P._polymyxa_strain_P3	A._sp._XH2	1.0	1.0	0/1000
P._simiae_strain_FP689	A._sp._XH2	1.0	1.0	0/1000
P._sp._FSL_L8-0436	A._sp._XH2	1.0	1.0	0/1000
S._aureus_strain_BPH2900_isolate_BPH2900	A._sp._XH2	1.0	1.0	0/1000
S._aureus_strain_MSHS_PS00038.1A	A._sp._XH2	1.0	1.0	0/1000
S._tsukubensis_strain_NRRL_18488	A._sp._XH2	1.0	1.0	0/1000
S._zaomyceticus_strain_NBC_01228	A._sp._XH2	1.0	1.0	0/1000
V._ainsalahensis_strain_JCM_30907	A._sp._XH2	1.0	1.0	0/1000
V._dokdonensis_strain_21D	A._sp._XH2	1.0	1.0	0/1000
V._siamensis_strain_JCM_15395	A._sp._XH2	1.0	1.0	0/1000
A._sp._XH2	A._thermoaerophilus_strain_AFn2	0.0024636	0.0	904/1000
A._thermoaerophilus_strain_AFn2	A._thermoaerophilus_strain_AFn2	0.0	0.0	1000/1000
A._thermoaerophilus_strain_CCM_8960	A._thermoaerophilus_strain_AFn2	0.0	0.0	1000/1000
B._altitudinis_strain_Ba1449	A._thermoaerophilus_strain_AFn2	1.0	1.0	0/1000
B._atrophaeus_strain_globigii	A._thermoaerophilus_strain_AFn2	1.0	1.0	0/1000
B._borstelensis_strain_SLAM-AEPS2	A._thermoaerophilus_strain_AFn2	0.295981	0.000507722	1/1000
B._brevis_strain_DZQ7	A._thermoaerophilus_strain_AFn2	1.0	1.0	0/1000
B._cereus_strain_2-6A	A._thermoaerophilus_strain_AFn2	1.0	1.0	0/1000
B._laterosporus_strain_Bl-zj	A._thermoaerophilus_strain_AFn2	0.295981	0.000493869	1/1000
B._licheniformis_strain_FUA2151	A._thermoaerophilus_strain_AFn2	1.0	1.0	0/1000
B._ovatus_strain_BFG-261	A._thermoaerophilus_strain_AFn2	1.0	1.0	0/1000
B._paralicheniformis_strain_285-3	A._thermoaerophilus_strain_AFn2	1.0	1.0	0/1000
B._paranthracis_strain_PR1	A._thermoaerophilus_strain_AFn2	1.0	1.0	0/1000
B._sp._41-22	A._thermoaerophilus_strain_AFn2	1.0	1.0	0/1000
B._sp._HF-162	A._thermoaerophilus_strain_AFn2	1.0	1.0	0/1000
B._subtilis_strain_75	A._thermoaerophilus_strain_AFn2	1.0	1.0	0/1000
B._subtilis_strain_B171	A._thermoaerophilus_strain_AFn2	1.0	1.0	0/1000
B._subtilis_strain_JNF2	A._thermoaerophilus_strain_AFn2	1.0	1.0	0/1000
B._subtilis_strain_SRCM104011	A._thermoaerophilus_strain_AFn2	1.0	1.0	0/1000
B._subtilis_subsp._subtilis_isolate_FELIX_MS9	A._thermoaerophilus_strain_AFn2	1.0	1.0	0/1000
B._velezensis_strain_CN026	A._thermoaerophilus_strain_AFn2	1.0	1.0	0/1000
B._velezensis_strain_PTA-127065	A._thermoaerophilus_strain_AFn2	1.0	1.0	0/1000
B._velezensis_strain_Soil-4-2	A._thermoaerophilus_strain_AFn2	1.0	1.0	0/1000
B._velezensis_strain_UA0276	A._thermoaerophilus_strain_AFn2	1.0	1.0	0/1000
